sector,context,cadence,time_spacecraft_btjd,quaternion_rows,finite_fom_rows,minimum_fom,finite_guide_count_rows,minimum_guides_used
32,6,4163927,2191.3264922938884,10,10,236.0,10,199.0
32,6,4163928,2191.3267237752675,10,10,236.0,10,199.0
32,6,4163929,2191.3269552566458,10,10,236.0,10,199.0
32,6,4163930,2191.327186738025,10,10,236.0,10,198.0
32,6,4163931,2191.327418219404,10,10,236.0,10,199.0
32,6,4163932,2191.327649700783,10,10,236.0,10,199.0
32,6,4163933,2191.3278811821615,10,10,236.0,10,199.0
32,6,4163934,2191.32811266354,10,10,236.0,10,199.0
32,6,4163935,2191.328344144919,10,10,236.0,10,199.0
32,6,4163936,2191.3285756262976,10,10,236.0,10,199.0
32,6,4163937,2191.3288071076763,10,10,236.0,10,199.0
32,6,4163938,2191.329038589055,10,10,236.0,10,199.0
32,6,4163939,2191.3292700704337,10,10,236.0,10,198.0
32,6,4163940,2191.3295015518124,10,10,236.0,10,199.0
32,6,4163941,2191.329733033191,10,10,236.0,10,199.0
32,6,4163942,2191.32996451457,10,10,236.0,10,199.0
32,6,4163943,2191.3301959959485,10,10,236.0,10,198.0
32,6,4163944,2191.330427477327,10,10,236.0,10,199.0
32,6,4163945,2191.330658958706,10,10,236.0,10,199.0
32,6,4163946,2191.330890440085,10,10,236.0,10,199.0
32,6,4163947,2191.3311219214643,10,10,236.0,10,199.0
32,6,4163948,2191.3313534028434,10,10,236.0,10,199.0
32,6,4163949,2191.3315848842217,10,10,236.0,10,199.0
32,6,4163950,2191.331816365601,10,10,236.0,10,199.0
32,6,4163951,2191.332047846979,10,10,236.0,10,199.0
32,6,4163952,2191.3322793283583,10,10,236.0,10,199.0
32,6,4163953,2191.3325108097365,10,10,236.0,10,199.0
32,6,4163954,2191.3327422911157,10,10,236.0,10,199.0
32,6,4163955,2191.332973772494,10,10,236.0,10,199.0
32,6,4163956,2191.333205253873,10,10,236.0,10,199.0
32,6,4163957,2191.3334367352513,10,10,236.0,10,199.0
32,6,4163958,2191.3336682166305,10,10,236.0,10,199.0
32,6,4163959,2191.3338996980087,10,10,236.0,10,199.0
32,6,4163960,2191.334131179388,10,10,236.0,10,199.0
32,6,4163961,2191.334362660766,10,10,236.0,10,199.0
32,6,4163962,2191.334594142145,10,10,236.0,10,199.0
32,6,4163963,2191.3348256235236,10,10,236.0,10,199.0
32,6,4163964,2191.3350571049023,10,10,236.0,10,198.0
32,6,4163965,2191.335288586281,10,10,236.0,10,199.0
32,6,4163966,2191.33552006766,10,10,236.0,10,199.0
32,6,4163967,2191.3357515490397,10,10,236.0,10,199.0
32,6,4163968,2191.3359830304184,10,10,236.0,10,199.0
32,6,4163969,2191.336214511797,10,10,236.0,10,199.0
32,6,4163970,2191.336445993176,10,10,236.0,10,199.0
32,6,4163971,2191.3366774745546,10,10,236.0,10,198.0
32,6,4163972,2191.3369089559333,10,10,236.0,10,199.0
32,6,4163973,2191.337140437312,10,10,236.0,10,199.0
32,6,4163974,2191.3373719186907,10,10,236.0,10,199.0
32,6,4163975,2191.3376034000694,10,10,236.0,10,199.0
32,6,4163976,2191.337834881448,10,10,236.0,10,199.0
32,6,4163977,2191.338066362827,10,10,236.0,10,199.0
32,6,4163978,2191.3382978442055,10,10,236.0,10,199.0
32,6,4163979,2191.3385293255837,10,10,236.0,10,199.0
32,6,4163980,2191.338760806963,10,10,236.0,10,199.0
32,6,4163981,2191.338992288341,10,10,236.0,10,198.0
32,6,4163982,2191.3392237697203,10,10,236.0,10,199.0
32,6,4163983,2191.3394552510986,10,10,236.0,10,199.0
32,6,4163984,2191.3396867324777,10,10,236.0,10,199.0
32,6,4163985,2191.339918213856,10,10,252.0,10,200.0
32,6,4163986,2191.340149695236,10,10,236.0,10,199.0
32,6,4163987,2191.3403811766157,10,10,236.0,10,199.0
32,6,4163988,2191.3406126579944,10,10,236.0,10,199.0
32,6,4163989,2191.340844139373,10,10,236.0,10,199.0
32,6,4163990,2191.341075620752,10,10,236.0,10,199.0
32,6,4163991,2191.3413071021305,10,10,236.0,10,199.0
32,6,4163992,2191.341538583509,10,10,236.0,10,199.0
32,6,4163993,2191.341770064888,10,10,236.0,10,198.0
32,6,4163994,2191.3420015462666,10,10,236.0,10,199.0
32,6,4163995,2191.342233027645,10,10,236.0,10,198.0
32,6,4163996,2191.342464509024,10,10,236.0,10,199.0
32,6,4163997,2191.3426959904023,10,10,236.0,10,199.0
32,6,4163998,2191.3429274717814,10,10,236.0,10,199.0
32,6,4163999,2191.3431589531597,10,10,236.0,10,199.0
32,6,4164000,2191.343390434539,10,10,236.0,10,199.0
32,6,4164001,2191.343621915917,10,10,236.0,10,199.0
32,6,4164002,2191.3438533972962,10,10,236.0,10,199.0
32,6,4164003,2191.3440848786745,10,10,236.0,10,198.0
32,6,4164004,2191.3443163600537,10,10,236.0,10,199.0
32,6,4164005,2191.344547841432,10,10,236.0,10,199.0
32,6,4164006,2191.3447793228115,10,10,236.0,10,199.0
32,6,4164007,2191.345010804191,10,10,236.0,10,198.0
32,6,4164008,2191.3452422855694,10,10,236.0,10,198.0
32,6,4164009,2191.3454737669485,10,10,236.0,10,198.0
32,6,4164010,2191.345705248327,10,10,252.0,10,200.0
32,6,4164011,2191.345936729706,10,10,236.0,10,199.0
32,6,4164012,2191.346168211084,10,10,236.0,10,198.0
32,6,4164013,2191.3463996924634,10,10,236.0,10,199.0
32,6,4164014,2191.3466311738416,10,10,236.0,10,199.0
32,6,4164015,2191.3468626552203,10,10,236.0,10,199.0
32,6,4164016,2191.347094136599,10,10,236.0,10,199.0
32,6,4164017,2191.3473256179777,10,10,236.0,10,199.0
32,6,4164018,2191.3475570993564,10,10,236.0,10,199.0
32,6,4164019,2191.347788580735,10,10,236.0,10,199.0
32,6,4164020,2191.348020062114,10,10,236.0,10,199.0
32,6,4164021,2191.3482515434926,10,10,236.0,10,199.0
32,6,4164022,2191.3484830248713,10,10,236.0,10,199.0
32,6,4164023,2191.34871450625,10,10,236.0,10,199.0
32,6,4164024,2191.3489459876287,10,10,236.0,10,199.0
32,6,4164025,2191.349177469008,10,10,236.0,10,199.0
32,6,4164026,2191.3494089503874,10,10,236.0,10,199.0
32,6,4164027,2191.349640431766,10,10,236.0,10,199.0
32,6,4164028,2191.349871913145,10,10,236.0,10,199.0
32,6,4164029,2191.3501033945236,10,10,236.0,10,199.0
32,6,4164030,2191.350334875902,10,10,236.0,10,199.0
32,6,4164031,2191.350566357281,10,10,236.0,10,198.0
32,6,4164032,2191.350797838659,10,10,236.0,10,199.0
32,6,4164033,2191.3510293200384,10,10,236.0,10,199.0
32,6,4164034,2191.3512608014166,10,10,236.0,10,199.0
32,6,4164035,2191.351492282796,10,10,236.0,10,199.0
32,6,4164036,2191.351723764174,10,10,236.0,10,198.0
32,6,4164037,2191.351955245553,10,10,236.0,10,198.0
32,6,4164038,2191.3521867269314,10,10,236.0,10,199.0
32,6,4164039,2191.3524182083106,10,10,236.0,10,198.0
32,6,4164040,2191.352649689689,10,10,236.0,10,199.0
32,6,4164041,2191.3528811710685,10,10,236.0,10,199.0
32,6,4164042,2191.353112652447,10,10,236.0,10,199.0
32,6,4164043,2191.353344133826,10,10,236.0,10,199.0
32,6,4164044,2191.3535756152046,10,10,236.0,10,199.0
32,6,4164045,2191.3538070965838,10,10,236.0,10,199.0
32,6,4164046,2191.3540385779634,10,10,236.0,10,199.0
32,6,4164047,2191.354270059342,10,10,236.0,10,199.0
32,6,4164048,2191.3545015407203,10,10,236.0,10,199.0
32,6,4164049,2191.3547330220995,10,10,236.0,10,199.0
32,6,4164050,2191.3549645034777,10,10,236.0,10,199.0
32,6,4164051,2191.355195984857,10,10,236.0,10,198.0
32,6,4164052,2191.355427466235,10,10,252.0,10,200.0
32,6,4164053,2191.3556589476143,10,10,236.0,10,199.0
32,6,4164054,2191.3558904289926,10,10,236.0,10,199.0
32,6,4164055,2191.3561219103717,10,10,236.0,10,199.0
32,6,4164056,2191.35635339175,10,10,236.0,10,199.0
32,6,4164057,2191.356584873129,10,10,236.0,10,199.0
32,6,4164058,2191.3568163545074,10,10,236.0,10,199.0
32,6,4164059,2191.3570478358865,10,10,236.0,10,199.0
32,6,4164060,2191.357279317265,10,10,236.0,10,199.0
32,6,4164061,2191.357510798644,10,10,236.0,10,199.0
32,6,4164062,2191.357742280022,10,10,236.0,10,199.0
32,6,4164063,2191.357973761401,10,10,236.0,10,199.0
32,6,4164064,2191.3582052427796,10,10,236.0,10,198.0
32,6,4164065,2191.3584367241588,10,10,236.0,10,199.0
32,6,4164066,2191.3586682055384,10,10,236.0,10,199.0
32,6,4164067,2191.358899686917,10,10,236.0,10,199.0
32,6,4164068,2191.359131168296,10,10,236.0,10,199.0
32,6,4164069,2191.3593626496745,10,10,236.0,10,199.0
32,6,4164070,2191.359594131053,10,10,236.0,10,199.0
32,6,4164071,2191.359825612432,10,10,236.0,10,199.0
32,6,4164072,2191.3600570938106,10,10,236.0,10,198.0
32,6,4164073,2191.3602885751893,10,10,236.0,10,199.0
32,6,4164074,2191.360520056568,10,10,236.0,10,198.0
32,6,4164075,2191.3607515379467,10,10,236.0,10,199.0
32,7,4177638,2194.5003334782573,10,10,236.0,10,199.0
32,7,4177639,2194.500564959636,10,10,236.0,10,199.0
32,7,4177640,2194.5007964410147,10,10,236.0,10,199.0
32,7,4177641,2194.5010279223934,10,10,236.0,10,199.0
32,7,4177642,2194.501259403772,10,10,236.0,10,199.0
32,7,4177643,2194.501490885151,10,10,236.0,10,198.0
32,7,4177644,2194.5017223665304,10,10,236.0,10,199.0
32,7,4177645,2194.5019538479096,10,10,236.0,10,198.0
